	Symbol	Panel Id	Panel Name	Panel Version	Panel Status	List	Sources	Mode of inheritance	Mode of pathogenicity	Tags	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Biotype	Phenotypes	GeneLocation((GRch37)	GeneLocation((GRch38)	Panel Types	Super Panel Id	Super Panel Name	Super Panel Version
16576	SETX	466	Hereditary ataxia - adult onset	2.9	PUBLIC	green	Expert Review Green;Hereditary ataxia v1.148;London North GLH;NHS GMS;Wessex and West Midlands GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000107290	ENSG00000107290	HGNC:445	protein_coding	ataxia with oculomotor apraxia type 2 (AOA2), juvenile amyotrophic lateral sclerosis (ALS4) and autosomal dominant ataxia;Autosomal recessive spinocerebellar ataxia type 1, 606002;Ataxia-ocular apraxia-2	9:135136743-135230372	9:132261356-132354985	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
54059	WDR35	122	Thoracic dystrophies	1.7	PUBLIC	green	Emory Genetics Laboratory;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000118965	ENSG00000118965	HGNC:29250	protein_coding	Cranioectodermal dysplasia 2, 613610Short rib-polydactyly syndrome, type V, 614091	2:20110021-20189892	2:19910260-19990131	Rare Disease 100K	-	-	-
23335	WRN	171	Inherited non-medullary thyroid cancer	1.4	PUBLIC	green	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000165392	ENSG00000165392	HGNC:12791	protein_coding	Werner syndrome 277700	8:30891317-31031285	8:31033801-31173769	Rare Disease 100K	-	-	-
2528	SHH	234	CAKUT	1.153	PUBLIC	red	Expert list;Expert Review Red				ENSG00000164690	ENSG00000164690	HGNC:10848	protein_coding		7:155592680-155604967	7:155799986-155812273	Rare Disease 100K	-	-	-
23888	CNOT3	285	Intellectual disability	3.355	PUBLIC	green	BRIDGE study SPEED NEURO Tier1 Gene;Expert Review Green;Victorian Clinical Genetics Services	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000088038	ENSG00000088038	HGNC:7879	protein_coding	CNOT3 syndrome;intellectual disability, global developmental delay;Intellectual developmental disorder with speech delay, autism, and dysmorphic facies, 618672	19:54641444-54659419	19:54137728-54155681	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
59376	NDUFAF3	285	Intellectual disability	3.355	PUBLIC	red	Literature;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000178057	ENSG00000178057	HGNC:29918	protein_coding	Mitochondrial complex I deficiency	3:49057892-49060928	3:49020459-49023495	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
24020	EXTL3	285	Intellectual disability	3.355	PUBLIC	green	BRIDGE study SPEED NEURO Tier1 Gene;Expert Review Green;Victorian Clinical Genetics Services	BIALLELIC, autosomal or pseudoautosomal			ENSG00000012232	ENSG00000012232	HGNC:3518	protein_coding	Immunoskeletal dysplasia with neurodevelopmental abnormalities  617425	8:28457986-28613116	8:28600469-28755599	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
27774	COX6A1	112	Mitochondrial disorders	2.8	PUBLIC	green	Victorian Clinical Genetics Services;Expert Review Green;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000111775	ENSG00000111775	HGNC:2277	protein_coding	Charcot-Marie-Tooth disease, recessive intermediate D, 616039	12:120875893-120878545	12:120438090-120440742	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	581	Merge for Cardiomyopathies - including childhood onset	7.62
59891	NARS	285	Intellectual disability	3.355	PUBLIC	grey	Literature	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000134440	ENSG00000134440	HGNC:7643	protein_coding	Abnormal muscle tone;Microcephaly;Global developmental delay;Intellectual disability;Seizures;Ataxia;Abnormality of the face;Demyelinating peripheral neuropathy	18:55267888-55289445	18:57600656-57622213	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
28956	HYKK	467	Inborn errors of metabolism	2.22	PUBLIC	red	London North GLH;NHS GMS;Expert Review Red	Unknown			ENSG00000188266	ENSG00000188266	HGNC:34403	protein_coding	Hydroxylysinuria (Disorders of histidine, tryptophan or lysine metabolism)	15:78799906-78829714	15:78507564-78537372	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	581	Merge for Cardiomyopathies - including childhood onset	7.62
22067	TXN2	467	Inborn errors of metabolism	2.22	PUBLIC	red	Expert Review Red	BIALLELIC, autosomal or pseudoautosomal			ENSG00000100348	ENSG00000100348	HGNC:17772	protein_coding	infantile-onset neurodegenerative disorder with severe cerebellar atrophy, epilepsy, dystonia, optic atrophy, and peripheral neuropathy;?Combined oxidative phosphorylation deficiency 29	22:36863083-36878077	22:36467036-36482030	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	490	Hypotonic infant	9.454
37232	ACP5	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000102575	ENSG00000102575	HGNC:124	protein_coding	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION 607944	19:11685475-11689823	19:11574660-11579008	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
44197	NKX2-1	541	Paroxysmal central nervous system disorders	1.4	PUBLIC	red	Expert Review Red;London North GLH;NHS GMS;Wessex and West Midlands GLH	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000136352	ENSG00000136352	HGNC:11825	protein_coding	Chorea, hereditary benign 118700;Choreoathetosis, hypothyroidism, and neonatal respiratory distress	14:36985602-36990354	14:36516392-36521149	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
43193	PIGQ	285	Intellectual disability	3.355	PUBLIC	red	Expert Review Red	BIALLELIC, autosomal or pseudoautosomal			ENSG00000007541	ENSG00000007541	HGNC:14135	protein_coding	SEVERE EARLY-ONSET EPILEPSY;Epileptic encephalopathy, early infantile, 77, 618548	16:616995-634136	16:566995-584136	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
14121	HTRA2	402	Genetic epilepsy syndromes	2.154	PUBLIC	green	Expert Review Green;Literature;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000115317	ENSG00000115317	HGNC:14348	protein_coding	3-methylglutaconic aciduria, type VIII	2:74756504-74760472	2:74529377-74533348	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	-	-	-
32481	ATP1A3	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review Green;Expert List	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000105409	ENSG00000105409	HGNC:801	protein_coding	Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorineural hearing loss (CAPOS, #601338);Alternating hemiplegia of childhood 2 (#614820) and Dystonia 12 (#128235)	19:42470734-42501649	19:41966582-41997497	Rare Disease 100K	586	Merge for Neurodegenerative disorders - adult onset	1.186
1336	WDR73	477	Ataxia and cerebellar anomalies - narrow panel	2.13	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000177082	ENSG00000177082	HGNC:25928	protein_coding	Galloway Mowat syndrome, when patients are ambulant ataxia is a recognised feature;Galloway-Mowat syndrome 1, 251300	15:85185999-85197574	15:84639281-84654343	GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
40732	TMEM5	467	Inborn errors of metabolism	2.22	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal		new-gene-name	ENSG00000118600	ENSG00000118600	HGNC:13530	protein_coding	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10	12:64173583-64203338	12:63779803-63809558	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
808	COL4A2	258	Arthrogryposis	3.11	PUBLIC	red	Expert Review;Expert Review Red				ENSG00000134871	ENSG00000134871	HGNC:2203	protein_coding		13:110958159-111165374	13:110305812-110513027	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	-	-	-
27650	APOC2	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000234906	ENSG00000234906	HGNC:609	protein_coding	Hyperlipoproteinemia, type Ib 207750;Familial apolipoprotein C - II deficiency (Familial chylomicronaemia, Inherited hypercholesterolaemias)	19:45449243-45452822	19:44945982-44949565	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	581	Merge for Cardiomyopathies - including childhood onset	7.62
55906	DCAF17	476	White matter disorders and cerebral calcification - narrow panel	1.14	PUBLIC	grey	Expert list	BIALLELIC, autosomal or pseudoautosomal			ENSG00000115827	ENSG00000115827	HGNC:25784	protein_coding	"Woodhouse-Sakati syndrome, MIM#	241080"	2:172290727-172341562	2:171434217-171485052	GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
44902	SUCLG2	539	Possible mitochondrial disorder - nuclear genes	1.16	PUBLIC	red	Expert Review Red;NHS GMS	Unknown			ENSG00000172340	ENSG00000172340	HGNC:11450	protein_coding	None	3:67410884-67705038	3:67360460-67654614	GMS Rare Disease;GMS signed-off	-	-	-
30305	PMPCB	112	Mitochondrial disorders	2.8	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000105819	ENSG00000105819	HGNC:9119	protein_coding	Multiple mitochondrial dysfunctions syndrome 6, 617954	7:102937869-102969958	7:103297422-103329511	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	584	Merge for inborn errors of metabolism	3.31
24217	L2HGDH	285	Intellectual disability	3.355	PUBLIC	green	Expert Review Green;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000087299	ENSG00000087299	HGNC:20499	protein_coding	L-2-hydroxyglutaric aciduria, 236792;L-2-HYDROXYGLUTARIC ACIDURIA (L2HGA)	14:50704281-50779266	14:50237563-50312548	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
2332	MPL	545	Bleeding and platelet disorders	1.9	PUBLIC	green	Expert Review Green;London South GLH;NHS GMS;North West GLH;Wessex and West Midlands GLH;Yorkshire and North East GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000117400	ENSG00000117400	HGNC:7217	protein_coding	604498 Thrombocytopenia, congenital amegakaryocytic	1:43803478-43818443	1:43337849-43352772	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
52993	TP63	554	Epidermolysis bullosa and congenital skin fragility	1.3	PUBLIC	red	Expert Review Red	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000073282	ENSG00000073282	HGNC:15979	protein_coding	Hay-Wells syndrome, 106260;Red, cracking, peeling skin at birth	3:189349205-189615068	3:189631416-189897279	GMS Rare Disease Virtual;GMS Rare Disease;Component Of Super Panel;GMS signed-off	492	Skin disorders	13.42
44662	NDUFB11	539	Possible mitochondrial disorder - nuclear genes	1.16	PUBLIC	green	Expert Review Green;NHS GMS	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000147123	ENSG00000147123	HGNC:20372	protein_coding	?Mitochondrial complex I deficiency, nuclear type 30, 301021;Linear skin defects with multiple congenital anomalies 3, 300952	X:47001615-47004903	X:47142216-47145504	GMS Rare Disease;GMS signed-off	-	-	-
29765	COX6A1	112	Mitochondrial disorders	2.8	PUBLIC	green	Victorian Clinical Genetics Services;Expert Review Green;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000111775	ENSG00000111775	HGNC:2277	protein_coding	Charcot-Marie-Tooth disease, recessive intermediate D, 616039	12:120875893-120878545	12:120438090-120440742	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	584	Merge for inborn errors of metabolism	3.31
8067	ELMO2	484	DDG2P	2.9	PUBLIC	amber	DD-Gene2Phenotype;Expert Review Amber	BIALLELIC, autosomal or pseudoautosomal			ENSG00000062598	ENSG00000062598	HGNC:17233	protein_coding	Intraosseous Vascular Malformation	20:44994688-45061704	20:46366049-46432985	GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
60441	WDR45	67	Epileptic encephalopathy	1.153	RETIRED	green	Expert Review;Expert Review Green	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000196998	ENSG00000196998	HGNC:28912	protein_coding		X:48929385-48958108	X:49071470-49101170	Rare Disease 100K	-	-	-
23980	DPH1	285	Intellectual disability	3.355	PUBLIC	green	Expert Review;Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000108963	ENSG00000108963	HGNC:3003	protein_coding	Developmental delay with short stature, dysmorphic features, and sparse hair, 616901	17:1933404-1946724	17:2030110-2043430	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
6712	RUNX1	159	Cytopenias and congenital anaemias	1.74	PUBLIC	red	Expert list;Expert Review Red;UKGTN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		somatic	ENSG00000159216	ENSG00000159216	HGNC:10471	protein_coding	Inherited Bone Marrow Failure Syndromes - Thrombocytopenia;Familial MDS (Myelodysplastic syndromes);Platelet Disorder, Familial, With Associated Myeloid Malignancy	21:36160098-37376965	21:34787801-36004667	Rare Disease 100K	-	-	-
23547	NDUFS2	42	Inherited white matter disorders	1.82	PUBLIC	green	Expert list;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000158864	ENSG00000158864	HGNC:7708	protein_coding	Mitochondrial Leukoencephalopathy;Mitochondrial complex I disorders;Leigh syndrome;Leigh syndrome associated with mitochondrial complex I deficiency	1:161166894-161184185	1:161197104-161214395	Rare Disease 100K	-	-	-
57940	TMEM70	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000175606	ENSG00000175606	HGNC:26050	protein_coding	Mitochondrial Diseases;Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2, 614052;Isolated complex V deficiency;Complex V (Mitochondrial respiratory chain disorders (caused by nuclear variants only), OXPHOS assembly factors);Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2;Mitochondrial Complex V (ATP Synthase) Deficiency, Nuclear Type	8:74884672-74895018	8:73972437-73982783	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
58384	GTF3C3	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;Victorian Clinical Genetics Services;Literature	BIALLELIC, autosomal or pseudoautosomal		watchlist	ENSG00000119041	ENSG00000119041	HGNC:4666	protein_coding	Global developmental delay;Intellectual disability;Seizures	2:197627756-197664449	2:196763032-196799725	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
34666	MSTO1	112	Mitochondrial disorders	2.8	PUBLIC	green	Expert Review Green;NHS GMS	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000125459	ENSG00000125459	HGNC:29678	protein_coding	Myopathy, mitochondrial, and ataxia, 617675	1:155579979-155718153	1:155610205-155614967	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
31389	MT-CYB	112	Mitochondrial disorders	2.8	PUBLIC	green	Expert Review Green;UKGTN	MITOCHONDRIAL			ENSG00000198727	ENSG00000198727	HGNC:7427	protein_coding	LEBER OPTIC ATROPHY;ENCEPHALOMYOPATHY, MITOCHONDRIAL;MULTISYSTEM DISORDER;EXERCISE INTOLERANCE;CARDIOMYOPATHY, INFANTILE HISTIOCYTOID;EXERCISE INTOLERANCE, CARDIOMYOPATHY, AND SEPTOOPTIC DYSPLASIA;PARKINSONISM/MELAS OVERLAP SYNDROME	MT:14747-15887	MT:14747-15887	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
60500	PCDH12	67	Epileptic encephalopathy	1.153	RETIRED	red	Expert Review	BIALLELIC, autosomal or pseudoautosomal		founder-effect	ENSG00000113555	ENSG00000113555	HGNC:8657	protein_coding	intellectual disability;microcephaly;epilepsy;perithalamic hyperechogenicity;periventricular hyperechogenicity;midbrain abnormalities;hypothalamic abnormalities	5:141323150-141349304	5:141943585-141969741	Rare Disease 100K	-	-	-
18385	KISS1R	650	Hypogonadotropic hypogonadism idiopathic	1.8	PUBLIC	green	Expert Review Green;NHS GMS;South West GLH;Wessex and West Midlands GLH	BIALLELIC, autosomal or pseudoautosomal			ENSG00000116014	ENSG00000116014	HGNC:4510	protein_coding	Hypogonadotropic hypogonadism type 8 (OMIM 614837)	19:917287-921015	19:917287-921015	GMS Rare Disease Virtual;GMS signed-off	-	-	-
27348	PNPLA6	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review Green;Expert Review	BIALLELIC, autosomal or pseudoautosomal			ENSG00000032444	ENSG00000032444	HGNC:16268	protein_coding	Autosomal recessive spastic paraplegia 39 (#612020), ataxia seen in some patients;Spinocerebellar ataxia, hypogonadotropic hypogonadism and chorioretinal dystrophy (Boucher-Neuhauser syndrome, #215470);Oliver-McFarlane syndrome (#603197)	19:7598890-7626650	19:7534004-7561764	Rare Disease 100K	589	Merge for Ataxia and cerebellar anomalies - narrow panel	1.72
40087	RELN	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000189056	ENSG00000189056	HGNC:9957	protein_coding	LISSENCEPHALY 2 319306	7:103112231-103629963	7:103471784-103989516	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
32558	FXN	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review Green;Eligibility statement prior genetic testing;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal		nucleotide-repeat-expansion	ENSG00000165060	ENSG00000165060	HGNC:3951	protein_coding	Friedreichataxia,229300Friedreichataxiawithretainedreflexes,229300	9:71650175-71715094	9:69035259-69100178	Rare Disease 100K	586	Merge for Neurodegenerative disorders - adult onset	1.186
16964	PIGS	25	Congenital disorders of glycosylation	2.14	PUBLIC	amber	Expert Review Amber;Expert list	BIALLELIC, autosomal or pseudoautosomal		for-review	ENSG00000087111	ENSG00000087111	HGNC:14937	protein_coding	Glycosylphosphatidylinositol biosynthesis defect 18 618143	17:26880401-26898890	17:28553383-28571872	Rare Disease 100K;GMS Rare Disease;Component Of Super Panel;GMS signed-off	488	Hereditary ataxia and cerebellar anomalies - childhood onset	6.39
20292	TBC1D24	285	Intellectual disability	3.355	PUBLIC	green	Victorian Clinical Genetics Services;Expert Review Green;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000162065	ENSG00000162065	HGNC:29203	protein_coding	Myoclonic epilepsy, infantile, familial, 605021Epileptic encephalopathy, early infantile, 16, 615338;NON SYNDROMAL HEARING LOSS	16:2525147-2555735	16:2475051-2509560	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	490	Hypotonic infant	9.454
1444	CFB	139	Atypical haemolytic uraemic syndrome	2.7	PUBLIC	green	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments		ENSG00000243649	ENSG00000243649	HGNC:1037	protein_coding	Hemolytic uremic syndrome, atypical, susceptibility to, 4 612924	6:31895475-31919861	6:31945650-31952084	Rare Disease 100K;GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
44548	ATP5D	539	Possible mitochondrial disorder - nuclear genes	1.16	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal		new-gene-name	ENSG00000099624	ENSG00000099624	HGNC:837	protein_coding	Mitochondrial complex V (ATP synthase) deficiency, 618120	19:1241749-1244824	19:1241746-1244826	GMS Rare Disease;GMS signed-off	-	-	-
9670	SLC39A4	554	Epidermolysis bullosa and congenital skin fragility	1.3	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000147804	ENSG00000147804	HGNC:17129	protein_coding		8:145635126-145642279	8:144409742-144416895	GMS Rare Disease Virtual;GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
46952	HPRT1	149	Nephrocalcinosis or nephrolithiasis	2.13	PUBLIC	green	Expert Review Green;Expert	X-LINKED: hemizygous mutation in males, biallelic mutations in females			ENSG00000165704	ENSG00000165704	HGNC:5157	protein_coding	Lesch-Nyhan syndrome, 300322	X:133594183-133654543	X:134460153-134520513	Rare Disease 100K;GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	902	Renal superpanel - broad	2.269
